date,arrival,cargo,time,flight,status,statusCode,origin,baggage,hall,terminal,stand
2024-04-14,True,False,23:55,"[{'no': 'HB 345', 'airline': 'HGB'}]",At gate 00:24 (15/04/2024),,KIX,16,B,,D210
2024-04-16,True,False,00:05,"[{'no': 'KE 179', 'airline': 'KAL'}, {'no': 'DL 7915', 'airline': 'DAL'}]",,,ICN,,,,
2024-04-16,True,False,00:15,"[{'no': 'CI 607', 'airline': 'CAL'}]",,,TPE,,,,
2024-04-16,True,False,00:25,"[{'no': 'CX 636', 'airline': 'CPA'}, {'no': 'AY 5852', 'airline': 'FIN'}, {'no': 'OM 5614', 'airline': 'MGL'}, {'no': 'FJ 5463', 'airline': 'FJI'}]",,,SIN,,,,
2024-04-16,True,False,00:25,"[{'no': '7C 2107', 'airline': 'JJA'}]",,,ICN,,,,
2024-04-16,True,False,00:30,"[{'no': 'UO 863', 'airline': 'HKE'}]",,,KIX,,,,
2024-04-16,True,False,00:35,"[{'no': 'UO 651', 'airline': 'HKE'}]",,,NRT,,,,
2024-04-16,True,False,01:10,"[{'no': 'UO 627', 'airline': 'HKE'}]",,,ICN,,,,
2024-04-16,True,False,01:15,"[{'no': 'TW 117', 'airline': 'TWB'}]",,,ICN,,,,
2024-04-16,True,False,01:15,"[{'no': 'UO 653', 'airline': 'HKE'}]",,,NRT,,,,
2024-04-16,True,False,01:30,"[{'no': 'HX 766', 'airline': 'CRK'}, {'no': 'TK 9225', 'airline': 'THY'}]",,,BKK,,,,
2024-04-16,True,False,01:35,"[{'no': 'HX 742', 'airline': 'CRK'}]",,,HKT,,,,
2024-04-16,True,False,01:50,"[{'no': 'HX 611', 'airline': 'CRK'}]",,,NRT,,,,
2024-04-16,True,False,04:20,"[{'no': 'UO 765', 'airline': 'HKE'}, {'no': 'CX 5765', 'airline': 'CPA'}]",,,HKT,,,,
2024-04-16,True,False,04:40,"[{'no': 'UO 623', 'airline': 'HKE'}, {'no': 'CX 5623', 'airline': 'CPA'}]",,,HND,,,,
2024-04-16,True,False,05:00,"[{'no': 'CX 811', 'airline': 'CPA'}, {'no': 'OM 5811', 'airline': 'MGL'}]",Est at 04:29,,BOS,,,,
2024-04-16,True,False,05:00,"[{'no': 'CX 829', 'airline': 'CPA'}]",Est at 04:36,,YYZ,,,,
2024-04-16,True,False,05:00,"[{'no': 'UA 877', 'airline': 'UAL'}]",,,SFO,,,,
2024-04-16,True,False,05:10,"[{'no': 'CX 138', 'airline': 'CPA'}, {'no': 'BA 4134', 'airline': 'BAW'}, {'no': 'AY 5112', 'airline': 'FIN'}, {'no': 'QR 3493', 'airline': 'QTR'}, {'no': 'OM 5602', 'airline': 'MGL'}]",,,SYD,,,,
2024-04-16,True,False,05:15,"[{'no': 'HB 232', 'airline': 'HGB'}]",,,MNL,,,,
2024-04-16,True,False,05:35,"[{'no': 'CX 843', 'airline': 'CPA'}, {'no': 'MH 9211', 'airline': 'MAS'}, {'no': 'LA 5649', 'airline': 'LAN'}, {'no': 'OM 5843', 'airline': 'MGL'}]",Est at 05:01,,JFK,,,,
2024-04-16,True,False,05:35,"[{'no': 'CX 865', 'airline': 'CPA'}]",,,YVR,,,,
2024-04-16,True,False,05:50,"[{'no': 'CX 714', 'airline': 'CPA'}]",,,SIN,,,,
2024-04-16,True,False,05:55,"[{'no': 'HX 780', 'airline': 'CRK'}, {'no': 'TK 9222', 'airline': 'THY'}]",,,BKK,,,,
2024-04-16,True,False,06:00,"[{'no': 'CX 873', 'airline': 'CPA'}, {'no': 'AA 8931', 'airline': 'AAL'}, {'no': 'MH 9183', 'airline': 'MAS'}, {'no': 'OM 5873', 'airline': 'MGL'}]",,,SFO,,,,
2024-04-16,True,False,06:00,"[{'no': 'UO 629', 'airline': 'HKE'}, {'no': 'CX 5629', 'airline': 'CPA'}]",,,HND,,,,
2024-04-16,True,False,06:05,"[{'no': 'CX 798', 'airline': 'CPA'}, {'no': 'AA 8918', 'airline': 'AAL'}, {'no': 'BA 4148', 'airline': 'BAW'}, {'no': 'QR 3489', 'airline': 'QTR'}]",,,CGK,,,,
2024-04-16,True,False,06:15,"[{'no': 'CX 260', 'airline': 'CPA'}]",,,CDG,,,,
2024-04-16,True,False,06:15,"[{'no': 'UK 161', 'airline': 'VTI'}]",,,DEL,,,,
2024-04-16,True,False,06:25,"[{'no': 'CX 234', 'airline': 'CPA'}]",,,MXP,,,,
2024-04-16,True,False,06:45,"[{'no': 'CX 216', 'airline': 'CPA'}]",,,MAN,,,,
2024-04-16,True,False,06:45,"[{'no': 'CX 881', 'airline': 'CPA'}, {'no': 'AA 8934', 'airline': 'AAL'}, {'no': 'MH 9191', 'airline': 'MAS'}, {'no': 'LA 5646', 'airline': 'LAN'}, {'no': 'OM 5881', 'airline': 'MGL'}]",,,LAX,,,,
2024-04-16,True,False,06:50,"[{'no': 'CX 698', 'airline': 'CPA'}, {'no': 'AA 8885', 'airline': 'AAL'}, {'no': 'JL 7932', 'airline': 'JAL'}, {'no': 'OM 5752', 'airline': 'MGL'}]",,,DEL,,,,
2024-04-16,True,False,06:55,"[{'no': 'CX 178', 'airline': 'CPA'}, {'no': 'BA 4140', 'airline': 'BAW'}, {'no': 'AY 5844', 'airline': 'FIN'}, {'no': 'QR 3488', 'airline': 'QTR'}]",,,MEL,,,,
2024-04-16,True,False,06:55,"[{'no': 'CX 382', 'airline': 'CPA'}, {'no': 'LX 9514', 'airline': 'SWR'}]",,,ZRH,,,,
2024-04-16,True,False,07:30,"[{'no': 'CX 288', 'airline': 'CPA'}, {'no': 'LH 7015', 'airline': 'DLH'}]",,,FRA,,,,
2024-04-16,True,False,07:40,"[{'no': 'CX 976', 'airline': 'CPA'}, {'no': 'AC 9774', 'airline': 'ACA'}]",,,MNL,,,,
2024-04-16,True,False,07:45,"[{'no': 'CX 156', 'airline': 'CPA'}, {'no': 'BA 4146', 'airline': 'BAW'}, {'no': 'AY 5850', 'airline': 'FIN'}, {'no': 'JL 7906', 'airline': 'JAL'}, {'no': 'OM 5632', 'airline': 'MGL'}, {'no': 'QR 3467', 'airline': 'QTR'}]",,,BNE,,,,
2024-04-16,True,False,07:55,"[{'no': 'CX 252', 'airline': 'CPA'}]",,,LHR,,,,
