date,arrival,cargo,time,flight,status,statusCode,destination,terminal,aisle,gate
2024-04-14,False,False,22:00,"[{'no': 'XJ 701', 'airline': 'TAX'}]",Dep 02:01 (15/04/2024),,BKK,T1,,513
2024-04-14,False,False,22:55,"[{'no': 'PR 311', 'airline': 'PAL'}]",Dep 00:06 (15/04/2024),,MNL,T1,F,30
2024-04-14,False,False,23:55,"[{'no': 'CX 289', 'airline': 'CPA'}, {'no': 'LH 7015', 'airline': 'DLH'}]",Dep 00:00 (15/04/2024),,FRA,T1,A,7
2024-04-16,False,False,00:05,"[{'no': 'CX 880', 'airline': 'CPA'}, {'no': 'AA 8933', 'airline': 'AAL'}, {'no': 'MH 9190', 'airline': 'MAS'}, {'no': 'OM 5880', 'airline': 'MGL'}]",,,LAX,T1,BC,
2024-04-16,False,False,00:20,"[{'no': 'CX 105', 'airline': 'CPA'}, {'no': 'AY 5095', 'airline': 'FIN'}, {'no': 'OM 5605', 'airline': 'MGL'}, {'no': 'BA 4567', 'airline': 'BAW'}, {'no': 'QR 5830', 'airline': 'QTR'}]",,,MEL,T1,A,
2024-04-16,False,False,00:30,"[{'no': 'OZ 746', 'airline': 'AAR'}, {'no': 'HX 1566', 'airline': 'CRK'}]",,,ICN,T1,E,
2024-04-16,False,False,00:30,"[{'no': 'CX 749', 'airline': 'CPA'}, {'no': 'JL 7901', 'airline': 'JAL'}, {'no': 'LA 5632', 'airline': 'LAN'}]",,,JNB,T1,A,
2024-04-16,False,False,00:35,"[{'no': 'EK 381', 'airline': 'UAE'}, {'no': 'TP 6349', 'airline': 'TAP'}]",,,DXB,T1,G,
2024-04-16,False,False,00:45,"[{'no': 'CX 888', 'airline': 'CPA'}]",,,YVR,T1,BC,
2024-04-16,False,False,00:45,"[{'no': 'KE 178', 'airline': 'KAL'}, {'no': 'DL 7774', 'airline': 'DAL'}, {'no': 'VS 5516', 'airline': 'VIR'}]",,,ICN,T1,G,
2024-04-16,False,False,00:50,"[{'no': 'CX 872', 'airline': 'CPA'}, {'no': 'AA 8930', 'airline': 'AAL'}, {'no': 'MH 9198', 'airline': 'MAS'}, {'no': 'OM 5872', 'airline': 'MGL'}]",,,SFO,T1,BC,
2024-04-16,False,False,00:50,"[{'no': 'MM 068', 'airline': 'APJ'}]",,,KIX,T1,K,
2024-04-16,False,False,00:55,"[{'no': 'HX 779', 'airline': 'CRK'}, {'no': 'TK 9223', 'airline': 'THY'}]",,,BKK,T1,K,
2024-04-16,False,False,01:20,"[{'no': 'CX 524', 'airline': 'CPA'}, {'no': 'AA 5884', 'airline': 'AAL'}, {'no': 'FJ 5478', 'airline': 'FJI'}, {'no': 'JL 7040', 'airline': 'JAL'}, {'no': 'QR 5844', 'airline': 'QTR'}]",,,NRT,T1,A,
2024-04-16,False,False,01:20,"[{'no': 'KE 180', 'airline': 'KAL'}, {'no': 'DL 7916', 'airline': 'DAL'}, {'no': 'EY 8506', 'airline': 'ETD'}]",,,ICN,T1,G,
2024-04-16,False,False,01:25,"[{'no': '7C 2108', 'airline': 'JJA'}]",,,ICN,T1,D,
