,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon
0,2023-12-23T00:00:00,12,12,-4,32.52,0,0,,0,0,17.3,25.9,30,1031,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
1,2023-12-23T01:00:00,11,11,-4,34.74,0,0,,0,0,16.9,27.7,30,1031,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
2,2023-12-23T02:00:00,11.8,11.8,-4.1,32.77,0,0,,0,0,32.4,16.6,24,1031.5,58.7,14.7,0,0,0,10,Partially cloudy,partly-cloudy-night
3,2023-12-23T03:00:00,11,11,-4,34.74,0,0,,0,0,22,27.7,360,1031,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
4,2023-12-23T04:00:00,11,11,-4,34.74,0,0,,0,0,22,27.7,20,1030,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
5,2023-12-23T05:00:00,10.7,10.7,-4.7,33.43,0,0,,0,0,32.4,22.8,5,1030.5,58.7,14.7,0,0,0,10,Partially cloudy,partly-cloudy-night
6,2023-12-23T06:00:00,10,10,-4,37.13,0,0,rain,0,0,18,27.7,10,1031,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
7,2023-12-23T07:00:00,10,6.7,-3,40.02,0,0,,0,0,20.2,27.7,20,1032,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
8,2023-12-23T08:00:00,8.9,6,-0.8,50.68,0,0,,,0,32.4,20.2,9,1032.5,58.7,11.1,7,0,0,10,Partially cloudy,partly-cloudy-day
9,2023-12-23T09:00:00,9,6.1,1,57.33,0,0,,0,0,22.7,20.5,20,1033,50,10,40,0.1,0,10,Partially cloudy,partly-cloudy-day
10,2023-12-23T10:00:00,9,6.1,1,57.31,0,0,,0,0,16.9,20.5,20,1032,50.1,10,68,0.2,1,10,Partially cloudy,partly-cloudy-day
11,2023-12-23T11:00:00,10,10,0,49.78,0,0,,0,0,32.4,15.5,35,1032.2,70.7,13.1,98,0.4,1,10,Partially cloudy,partly-cloudy-day
12,2023-12-23T12:00:00,10,10,1,53.56,0,0,,0,0,19.1,16.6,10,1032,50.1,10,344,1.2,3,10,Partially cloudy,partly-cloudy-day
13,2023-12-23T13:00:00,11,11,1,50.1,0,0,,0,0,22,16.6,360,1030,50.1,10,460,1.7,5,10,Partially cloudy,partly-cloudy-day
14,2023-12-23T14:00:00,11.7,11.7,1.2,48.47,0,0,,0,0,32.4,17.5,24,1029.2,70.7,12.1,182,0.7,2,10,Partially cloudy,partly-cloudy-day
15,2023-12-23T15:00:00,12,12,1,46.91,0,0,,0,0,20.9,20.5,10,1028,50,10,234,0.8,2,10,Partially cloudy,partly-cloudy-day
16,2023-12-23T16:00:00,13,13,0,40.9,0,0,,0,0,18,22.3,10,1028,50,10,377,1.4,4,10,Partially cloudy,partly-cloudy-day
17,2023-12-23T17:00:00,12.7,12.7,-0.1,41.32,0,0,,0,0,32.4,16.4,29,1028.2,17.2,14.2,201,0.7,2,10,Clear,clear-day
18,2023-12-23T18:00:00,12,12,0,43.68,0,0,,0,0,18.7,18.4,30,1029,5,10,28,0.1,0,10,Clear,clear-night
19,2023-12-23T19:00:00,12,12,0,43.68,0,0,,0,0,16.9,14.8,50,1029,26.2,10,0,0,0,10,Partially cloudy,partly-cloudy-night
20,2023-12-23T20:00:00,11.1,11.1,-1,42.88,0,0,,0,0,25.2,14.7,35,1029.5,10,14.2,0,0,0,10,Clear,clear-night
21,2023-12-23T21:00:00,11,11,-2,40.33,0,0,,0,0,17.3,18.4,30,1030,5.9,10,0,0,0,10,Clear,clear-night
22,2023-12-23T22:00:00,11,11,-2,40.32,0,0,,0,0,18,18.4,30,1030,5,10,0,0,0,10,Clear,clear-night
23,2023-12-23T23:00:00,10.9,10.9,-2,40.62,0,0,,0,0,25.2,21,35,1030.1,50,17.3,0,0,0,10,Partially cloudy,partly-cloudy-night
24,2023-12-24T00:00:00,10,10,-2,43.09,0,0,,0,0,16.2,24.1,10,1030,69,10,0,0,0,10,Partially cloudy,partly-cloudy-night
25,2023-12-24T01:00:00,10,10,-3,40.02,0,0,,0,0,19.4,25.9,10,1030,10.5,10,0,0,0,10,Clear,clear-night
26,2023-12-24T02:00:00,9.9,7,-3.8,37.92,0,0,,0,0,28.8,22.8,25,1030.2,50,19.8,0,0,0,10,Partially cloudy,partly-cloudy-night
27,2023-12-24T03:00:00,10,6.9,-3,40.03,0,0,,0,0,16.9,25.9,10,1030,4.9,10,0,0,0,10,Clear,clear-night
28,2023-12-24T04:00:00,9,5.7,-3,42.8,0,0,,0,0,20.2,24.1,10,1029,6.1,10,0,0,0,10,Clear,clear-night
29,2023-12-24T05:00:00,9,6.4,-3,42.66,0,0,,0,0,28.8,17.4,30,1029.2,10,18.8,0,0,0,10,Clear,clear-night
30,2023-12-24T06:00:00,9,6.1,-3,42.8,0,0,,0,0,23,20.5,10,1030,5,10,0,0,0,10,Clear,clear-night
31,2023-12-24T07:00:00,9,6.1,-3,42.8,0,0,,0,0,24.1,20.5,20,1030,5,10,0,0,0,10,Clear,clear-night
32,2023-12-24T08:00:00,9.9,7.7,-2.1,43.07,0.012,100,rain,,0,28.8,15.6,5,1031,10,16.7,57,0.2,1,10,Rain,rain
33,2023-12-24T09:00:00,11,11,-2,40.31,0,0,,0,0,25.9,20.6,10,1031,0.9,10,257,0.9,3,10,Clear,clear-day
34,2023-12-24T10:00:00,12,12,-1,40.59,0,0,,0,0,27,22.3,10,1032,5,10,454,1.6,5,10,Clear,clear-day
35,2023-12-24T11:00:00,12.8,12.8,-0.9,38.74,0,0,,0,0,36,19.3,360,1031.4,10,15.2,611,2.2,6,10,Clear,clear-day
36,2023-12-24T12:00:00,14,14,-2,33.11,0,0,,0,0,25.6,22.3,350,1030,6.7,10,709,2.6,7,10,Clear,clear-day
37,2023-12-24T13:00:00,15,15,0,35.91,0,0,,0,0,24.1,22.3,340,1029,3.7,10,738,2.7,7,10,Clear,clear-day
38,2023-12-24T14:00:00,15.2,15.2,-0.1,35.16,0,0,,0,0,36,16.4,345,1028,40,12.6,696,2.5,7,10,Partially cloudy,partly-cloudy-day
39,2023-12-24T15:00:00,16,16,0,33.69,0,0,,0,0,20.2,20.5,340,1027,4.9,10,586,2.1,6,10,Clear,clear-day
40,2023-12-24T16:00:00,16,16,1,36.21,0,0,,0,0,19.8,20.5,360,1027,6.4,10,419,1.5,4,10,Clear,clear-day
41,2023-12-24T17:00:00,16.7,16.7,1.1,34.91,0,0,,0,0,36,16.4,5,1027.2,40,15.2,215,0.8,2,10,Partially cloudy,partly-cloudy-day
42,2023-12-24T18:00:00,16,16,1,36.21,0,0,,0,0,22,18.4,20,1027,1.3,10,31,0.1,0,10,Clear,clear-night
43,2023-12-24T19:00:00,16,16,0,33.71,0,0,,0,0,25.2,24.1,20,1028,5,10,0,0,0,10,Clear,clear-night
44,2023-12-24T20:00:00,15.8,15.8,0.1,34.26,0,0,,0,0,36,17.4,10,1028.3,40,15.2,0,0,0,10,Partially cloudy,partly-cloudy-night
45,2023-12-24T21:00:00,15,15,-1,33.4,0,0,,0,0,21.6,24.1,30,1029,1.2,10,0,0,0,10,Clear,clear-night
46,2023-12-24T22:00:00,15,15,-1,33.41,0,0,,0,0,16.9,16.6,20,1028,1.5,10,0,0,0,10,Clear,clear-night
47,2023-12-24T23:00:00,14.7,14.7,-1.2,33.55,0,0,,0,0,32.4,14.7,41,1029,30,18.8,0,0,0,10,Partially cloudy,partly-cloudy-night
49,2023-12-24T00:00:00,10,10,-2,43.09,0,0,,0,0,16.2,24.1,10,1030,69,10,0,0,0,10,Partially cloudy,partly-cloudy-night
50,2023-12-24T01:00:00,10,10,-3,40.02,0,0,,0,0,19.4,25.9,10,1030,10.5,10,0,0,0,10,Clear,clear-night
51,2023-12-24T02:00:00,9.9,7,-3.8,37.92,0,0,,0,0,28.8,22.8,25,1030.2,50,19.8,0,0,0,10,Partially cloudy,partly-cloudy-night
52,2023-12-24T03:00:00,10,6.9,-3,40.03,0,0,,0,0,16.9,25.9,10,1030,4.9,10,0,0,0,10,Clear,clear-night
53,2023-12-24T04:00:00,9,5.7,-3,42.8,0,0,,0,0,20.2,24.1,10,1029,6.1,10,0,0,0,10,Clear,clear-night
54,2023-12-24T05:00:00,9,6.4,-3,42.66,0,0,,0,0,28.8,17.4,30,1029.2,10,18.8,0,0,0,10,Clear,clear-night
55,2023-12-24T06:00:00,9,6.1,-3,42.8,0,0,,0,0,23,20.5,10,1030,5,10,0,0,0,10,Clear,clear-night
56,2023-12-24T07:00:00,9,6.1,-3,42.8,0,0,,0,0,24.1,20.5,20,1030,5,10,0,0,0,10,Clear,clear-night
57,2023-12-24T08:00:00,9.9,7.7,-2.1,43.07,0.012,100,rain,,0,28.8,15.6,5,1031,10,16.7,57,0.2,1,10,Rain,rain
58,2023-12-24T09:00:00,11,11,-2,40.31,0,0,,0,0,25.9,20.6,10,1031,0.9,10,257,0.9,3,10,Clear,clear-day
59,2023-12-24T10:00:00,12,12,-1,40.59,0,0,,0,0,27,22.3,10,1032,5,10,454,1.6,5,10,Clear,clear-day
60,2023-12-24T11:00:00,12.8,12.8,-0.9,38.74,0,0,,0,0,36,19.3,360,1031.4,10,15.2,611,2.2,6,10,Clear,clear-day
61,2023-12-24T12:00:00,14,14,-2,33.11,0,0,,0,0,25.6,22.3,350,1030,6.7,10,709,2.6,7,10,Clear,clear-day
62,2023-12-24T13:00:00,15,15,0,35.91,0,0,,0,0,24.1,22.3,340,1029,3.7,10,738,2.7,7,10,Clear,clear-day
63,2023-12-24T14:00:00,15.2,15.2,-0.1,35.16,0,0,,0,0,36,16.4,345,1028,40,12.6,696,2.5,7,10,Partially cloudy,partly-cloudy-day
64,2023-12-24T15:00:00,16,16,0,33.69,0,0,,0,0,20.2,20.5,340,1027,4.9,10,586,2.1,6,10,Clear,clear-day
65,2023-12-24T16:00:00,16,16,1,36.21,0,0,,0,0,19.8,20.5,360,1027,6.4,10,419,1.5,4,10,Clear,clear-day
66,2023-12-24T17:00:00,16.7,16.7,1.1,34.91,0,0,,0,0,36,16.4,5,1027.2,40,15.2,215,0.8,2,10,Partially cloudy,partly-cloudy-day
67,2023-12-24T18:00:00,16,16,1,36.21,0,0,,0,0,22,18.4,20,1027,1.3,10,31,0.1,0,10,Clear,clear-night
68,2023-12-24T19:00:00,16,16,0,33.71,0,0,,0,0,25.2,24.1,20,1028,5,10,0,0,0,10,Clear,clear-night
69,2023-12-24T20:00:00,15.8,15.8,0.1,34.26,0,0,,0,0,36,17.4,10,1028.3,40,15.2,0,0,0,10,Partially cloudy,partly-cloudy-night
70,2023-12-24T21:00:00,15,15,-1,33.4,0,0,,0,0,21.6,24.1,30,1029,1.2,10,0,0,0,10,Clear,clear-night
71,2023-12-24T22:00:00,15,15,-1,33.41,0,0,,0,0,16.9,16.6,20,1028,1.5,10,0,0,0,10,Clear,clear-night
72,2023-12-24T23:00:00,14.7,14.7,-1.2,33.55,0,0,,0,0,32.4,14.7,41,1029,30,18.8,0,0,0,10,Partially cloudy,partly-cloudy-night
73,2023-12-25T00:00:00,14,14,-2,33.12,0,0,,0,0,14,13,40,1029,2.9,10,0,0,0,10,Clear,clear-night
74,2023-12-25T01:00:00,13,13,-4,30.47,0,0,,0,0,15.1,13,50,1028,5,10,0,0,0,10,Clear,clear-night
75,2023-12-25T02:00:00,12.8,12.8,-3.1,33.05,0,0,,0,0,28.8,16.7,35,1028.2,30,20.4,0,0,0,10,Partially cloudy,partly-cloudy-night
76,2023-12-25T03:00:00,13,13,-3,32.82,0,0,,0,0,14.8,13,40,1027,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
77,2023-12-25T04:00:00,12,12,-3,35.04,0,0,,0,0,15.5,20.5,50,1027,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
78,2023-12-25T05:00:00,11.9,11.9,-3.9,33.08,0,0,,0,0,28.8,21.1,40,1027.1,32.8,19.8,0,0,0,10,Partially cloudy,partly-cloudy-night
79,2023-12-25T06:00:00,12,12,-4,32.52,0,0,,0,0,16.9,27.7,60,1027,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
80,2023-12-25T07:00:00,12,12,-4,32.53,0,0,,0,0,16.2,20.5,60,1028,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
81,2023-12-25T08:00:00,12,12,-0.9,40.82,0,0,,,0,28.8,22.6,54,1028.4,43.2,20.4,54,0.2,1,10,Partially cloudy,partly-cloudy-day
82,2023-12-25T09:00:00,13,13,-3,32.82,0,0,,0,0,14,20.5,60,1029,89.2,10,246,0.9,2,10,Partially cloudy,partly-cloudy-day
83,2023-12-25T10:00:00,14,14,-4,28.54,0,0,,0,0,11.2,13,10,1029,100,10,448,1.6,4,10,Overcast,cloudy
84,2023-12-25T11:00:00,14.8,14.8,-2.9,29.42,0,0,,0,0,28.8,11,35,1029,60,17.8,594,2.1,6,10,Partially cloudy,partly-cloudy-day
85,2023-12-25T12:00:00,16,16,-2,29.11,0,0,,0,0,8.3,14.8,360,1028,62.6,10,692,2.5,7,10,Partially cloudy,partly-cloudy-day
86,2023-12-25T13:00:00,17,17,-1,29.39,0,0,,0,0,5.8,20.5,330,1026,100,10,737,2.7,7,10,Overcast,cloudy
87,2023-12-25T14:00:00,17.2,17.2,0.2,31.74,0,0,,0,0,28.8,15.3,302,1025.3,60,14.2,649,2.3,6,10,Partially cloudy,partly-cloudy-day
88,2023-12-25T15:00:00,18,18,0,29.68,0,0,,0,0,8.3,11.2,310,1025,100,10,573,2.1,6,10,Overcast,cloudy
89,2023-12-25T16:00:00,18,18,1,31.89,0,0,,0,0,10.1,13,300,1024,99.7,10,377,1.4,4,10,Overcast,cloudy
90,2023-12-25T17:00:00,17,17,1,33.82,0,0,,0,0,25.2,10,274,1025,80,13.1,201,0.7,2,10,Partially cloudy,partly-cloudy-day
91,2023-12-25T18:00:00,16,16,2,38.9,0,0,,0,0,14.4,11.2,290,1025,33.6,10,26,0.1,0,10,Partially cloudy,partly-cloudy-night
92,2023-12-25T19:00:00,16,16,2,38.9,0,0,,0,0,16.2,11.1,200,1026,55.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night
93,2023-12-25T20:00:00,15.7,15.7,2.8,42.02,0,0,,0,0,25.2,9.1,208,1026.4,60,14.2,0,0,0,10,Partially cloudy,partly-cloudy-night
94,2023-12-25T21:00:00,15,15,4,47.75,0,0,,0,0,12.6,9.3,140,1027,65.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night
95,2023-12-25T22:00:00,15,15,4,47.77,0,0,,0,0,13,11.1,110,1027,42.7,10,0,0,0,10,Partially cloudy,partly-cloudy-night
96,2023-12-25T23:00:00,14.9,14.9,4.8,51.05,0,0,,0,0,21.6,11.8,128,1026.4,60,15.2,0,0,0,10,Partially cloudy,partly-cloudy-night
98,2023-12-25T00:00:00,14,14,-2,33.12,0,0,,0,0,14,13,40,1029,2.9,10,0,0,0,10,Clear,clear-night
99,2023-12-25T01:00:00,13,13,-4,30.47,0,0,,0,0,15.1,13,50,1028,5,10,0,0,0,10,Clear,clear-night
100,2023-12-25T02:00:00,12.8,12.8,-3.1,33.05,0,0,,0,0,28.8,16.7,35,1028.2,30,20.4,0,0,0,10,Partially cloudy,partly-cloudy-night
101,2023-12-25T03:00:00,13,13,-3,32.82,0,0,,0,0,14.8,13,40,1027,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
102,2023-12-25T04:00:00,12,12,-3,35.04,0,0,,0,0,15.5,20.5,50,1027,27.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night
103,2023-12-25T05:00:00,11.9,11.9,-3.9,33.08,0,0,,0,0,28.8,21.1,40,1027.1,32.8,19.8,0,0,0,10,Partially cloudy,partly-cloudy-night
