,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
2023-12-23,2,13,58,126,3,184
2023-12-24,3,23,38,128,7,175
2023-12-25,4,15,25,114,3,212
2023-12-26,1,4,21,122,9,212
2023-12-27,6,14,33,96,6,217
2023-12-28,4,12,41,119,7,193
2023-12-29,9,14,38,98,6,215
2023-12-30,13,12,35,117,12,196
2023-12-31,11,17,20,113,4,206
2024-01-01,5,7,24,106,3,235
2024-01-02,4,7,14,96,4,250
2024-01-03,6,10,38,109,9,196
2024-01-04,5,15,29,91,7,214
2024-01-05,3,4,18,102,5,235
2024-01-06,5,13,32,105,3,207
2024-01-07,11,8,27,111,2,214
2024-01-08,15,4,19,84,1,241
2024-01-09,13,6,25,69,3,233
2024-01-10,12,9,17,78,2,236
2024-01-11,13,9,13,69,1,251
2024-01-12,4,3,7,79,2,260
2024-01-13,4,7,11,90,1,245
2024-01-14,6,8,22,81,3,243
2024-01-15,1,9,23,93,5,222
2024-01-16,1,3,15,75,5,224
2024-01-17,2,7,22,75,2,233
2024-01-18,3,5,20,68,4,235
2024-01-19,1,7,20,107,2,220
2024-01-20,0,4,24,92,2,232
2024-01-21,1,5,17,85,0,250
2024-01-22,1,4,25,121,7,198
2024-01-23,0,10,40,104,1,186
2024-01-24,3,12,33,100,3,198
2024-01-25,2,8,24,103,4,207
2024-01-26,2,6,33,110,4,199
2024-01-27,2,7,34,107,3,209
2024-01-28,2,15,27,117,4,200
2024-01-29,3,10,32,105,2,205
2024-01-30,1,8,26,108,1,204
2024-01-31,1,17,33,103,1,193
2024-02-01,4,14,22,129,2,202
2024-02-02,3,9,31,136,3,189
2024-02-03,6,12,27,125,3,215
2024-02-04,0,10,31,119,4,213
2024-02-05,2,5,28,105,9,221
2024-02-06,2,12,18,94,6,242
2024-02-07,3,13,50,135,4,176
2024-02-08,4,8,36,135,3,196
2024-02-09,2,5,38,129,1,209
2024-02-10,4,8,21,110,4,241
2024-02-11,4,8,22,109,1,242
2024-02-12,2,8,14,87,2,271
2024-02-13,1,6,14,106,1,247
2024-02-14,4,6,20,75,4,273
2024-02-15,4,6,25,75,5,270
2024-02-16,2,7,17,119,4,236
2024-02-17,3,7,16,88,6,270
2024-02-18,3,6,22,106,1,251
2024-02-19,1,7,13,83,4,270
2024-02-20,1,11,12,86,2,251
2024-02-21,1,12,32,84,4,229
2024-02-22,6,15,23,85,6,226
2024-02-23,1,9,20,70,5,256
2024-02-24,3,3,14,68,2,280
2024-02-25,1,10,20,83,7,250
2024-02-26,4,3,18,92,3,242
2024-02-27,2,10,22,79,1,232
2024-02-28,3,5,11,96,1,228
2024-02-29,2,3,17,92,3,226
2024-03-01,6,7,38,124,2,191
2024-03-02,5,6,21,102,2,223
2024-03-03,2,13,24,76,23,229
2024-03-04,7,16,27,75,4,231
2024-03-05,3,4,12,89,4,231
2024-03-06,8,5,17,82,4,235
2024-03-07,3,4,17,66,3,249
2024-03-08,5,4,15,107,0,233
2024-03-09,6,6,16,65,2,261
2024-03-10,2,4,19,78,1,266
2024-03-11,3,6,16,95,4,235
2024-03-12,5,7,15,81,1,229
2024-03-13,4,3,19,68,3,257
2024-03-14,1,3,13,51,1,272
2024-03-15,4,3,20,74,1,262
2024-03-16,4,3,5,47,3,297
2024-03-17,2,2,10,78,3,271
2024-03-18,3,5,13,76,1,267
2024-03-19,2,5,14,72,3,247
2024-03-20,4,4,26,90,6,230
2024-03-21,2,3,14,68,4,258
2024-03-22,5,10,24,115,4,455
2024-03-23,4,4,18,69,4,268
2024-03-24,1,3,20,73,1,279
2024-03-25,6,16,20,87,5,235
2024-03-26,2,8,18,92,2,234
2024-03-27,3,14,24,89,3,241
2024-03-28,3,5,28,116,4,214
2024-03-29,4,8,31,126,7,210
2024-03-30,4,6,17,102,4,249
2024-03-31,2,24,57,116,6,185
