,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
2023-12-23,4,12,47,166,6,147
2023-12-24,4,12,37,157,10,154
2023-12-25,4,8,26,141,4,185
2023-12-26,3,11,20,140,11,188
2023-12-27,9,12,37,140,4,169
2023-12-28,0,14,36,160,5,160
2023-12-29,16,11,29,137,5,190
2023-12-30,12,13,24,115,7,207
2023-12-31,7,12,26,132,6,188
2024-01-01,2,7,12,155,1,199
2024-01-02,3,9,23,132,6,203
2024-01-03,6,15,30,147,5,167
2024-01-04,5,11,23,113,7,198
2024-01-05,3,5,16,129,4,217
2024-01-06,6,11,25,121,2,196
2024-01-07,12,10,21,153,3,175
2024-01-08,14,1,18,109,1,214
2024-01-09,16,3,13,93,2,225
2024-01-10,10,7,19,127,0,188
2024-01-11,13,6,11,112,2,213
2024-01-12,4,2,10,122,2,224
2024-01-13,3,3,14,113,1,216
2024-01-14,6,6,18,116,5,215
2024-01-15,1,5,18,114,4,201
2024-01-16,1,3,13,98,3,211
2024-01-17,1,5,13,120,3,191
2024-01-18,3,11,14,94,1,219
2024-01-19,1,2,18,150,2,188
2024-01-20,0,3,20,130,2,196
2024-01-21,1,3,17,123,1,213
2024-01-22,1,5,15,114,0,216
2024-01-23,0,8,30,125,1,179
2024-01-24,2,8,22,130,2,184
2024-01-25,2,7,27,139,3,173
2024-01-26,2,7,35,147,5,165
2024-01-27,2,8,22,115,2,203
2024-01-28,2,19,26,157,2,166
2024-01-29,3,5,17,125,4,198
2024-01-30,1,9,19,141,2,180
2024-01-31,1,12,23,144,1,168
2024-02-01,6,7,22,162,3,169
2024-02-02,0,9,35,182,3,153
2024-02-03,5,8,32,159,2,174
2024-02-04,0,10,27,174,7,162
2024-02-05,1,4,27,157,6,169
2024-02-06,3,7,24,182,4,160
2024-02-07,3,9,49,206,2,107
2024-02-08,3,14,36,189,2,137
2024-02-09,3,8,41,168,1,174
2024-02-10,2,9,18,145,5,202
2024-02-11,5,4,29,132,0,219
2024-02-12,2,6,21,130,1,218
2024-02-13,1,5,23,120,1,231
2024-02-14,4,7,13,117,3,233
2024-02-15,4,11,16,129,3,222
2024-02-16,3,4,22,143,3,218
2024-02-17,2,5,16,120,6,237
2024-02-18,3,6,11,143,1,223
2024-02-19,1,5,9,99,3,253
2024-02-20,2,8,14,116,1,227
2024-02-21,0,8,19,121,3,206
2024-02-22,6,10,25,97,4,218
2024-02-23,1,8,22,146,3,190
2024-02-24,2,3,24,104,3,228
2024-02-25,0,10,25,130,8,200
2024-02-26,4,6,18,122,2,200
2024-02-27,2,7,14,122,2,203
2024-02-28,3,3,15,127,2,194
2024-02-29,2,4,14,141,3,182
2024-03-01,7,9,18,151,1,188
2024-03-02,5,4,22,121,5,199
2024-03-03,2,11,30,147,11,165
2024-03-04,6,3,31,127,3,185
2024-03-05,3,4,18,126,2,188
2024-03-06,7,2,17,124,3,193
2024-03-07,5,6,14,97,1,226
2024-03-08,3,1,22,170,1,172
2024-03-09,8,6,22,117,0,204
2024-03-10,2,7,17,164,2,178
2024-03-11,3,4,14,125,6,197
2024-03-12,5,6,8,111,1,213
2024-03-13,4,6,17,116,1,201
2024-03-14,1,1,10,106,1,234
2024-03-15,5,5,18,146,1,193
2024-03-16,3,3,11,93,7,241
2024-03-17,2,3,13,123,2,220
2024-03-18,3,3,15,118,1,221
2024-03-19,3,4,16,109,4,212
2024-03-20,4,2,19,128,4,197
2024-03-21,3,7,10,118,2,217
2024-03-22,6,14,32,272,5,287
2024-03-23,3,2,14,129,4,213
2024-03-24,2,4,17,146,1,201
2024-03-25,6,10,26,136,3,189
2024-03-26,3,7,18,150,0,183
2024-03-27,3,13,29,155,4,166
2024-03-28,3,4,22,169,3,174
2024-03-29,4,5,26,194,5,158
2024-03-30,6,11,30,145,2,188
2024-03-31,2,18,54,169,9,134
